ID,Age,Tenure_Months,Education,Marital_Status,Children,Income,Total_Spends,Total_Num_Purchases,Customer_Since,Total_Campaigns,Recency,Wine,Fruits,Meat_Prod,Fish_Prod,Sweet_Prod,Gold_Prod,Deal_Purchase,Web_Purchase,Catalog_Purchase,Store_Purchase,Web_Visits_Month,Response,Complain,Country,Customer_Type,Spending_Type,Age_Segment,web_engagement
342199,41,159,Graduation,Together,1.0,59011.7,69.0,13.0,2012-11-17,0.0,3,0,2,45,6,0,16,3,2,5,3,4,0,0,Spain,Family Customer,low spender,40s,medium
8075450,51,155,Master,Single,2.0,1730.0,39.0,4.0,2013-04-10,0.0,96,0,0,19,1,19,0,1,1,0,2,3,0,0,Spain,Family Customer,low spender,50s,low
13664263,48,146,Graduation,Married,0.0,98584.6,1512.0,12.0,2014-01-11,0.0,99,920,0,339,0,115,138,3,2,1,6,3,0,0,Australia,Other,very high spender,40s,low
16164787,50,140,Graduation,Married,1.0,74031.5,478.0,16.0,2014-06-18,0.0,47,265,0,130,7,1,75,1,4,0,11,4,0,0,Spain,Family Customer,High spender,50s,medium
15815139,45,141,Graduation,Divorced,2.0,52784.2,330.0,9.0,2014-05-20,0.0,0,30,3,55,242,0,0,1,3,2,3,6,0,0,Canada,Family Customer,low spender,40s,medium
7194200,49,143,2n Cycle,Married,1.0,36353.5,132.0,12.0,2014-03-28,0.0,99,0,0,61,7,6,58,2,1,7,2,4,0,0,Canada,Family Customer,low spender,40s,medium
2330269,66,151,Basic,Divorced,0.0,111080.3,843.0,14.0,2013-08-05,0.0,14,152,68,225,259,20,119,0,4,4,6,2,0,0,Germany,Other,High spender,60s,low
12076936,30,144,PhD,Divorced,2.0,55986.3,98.0,11.0,2014-02-16,0.0,52,80,0,16,0,0,2,1,4,0,6,4,0,0,India,Family Customer,low spender,30s,medium
13223357,62,157,Master,Single,1.0,67793.7,91.0,9.0,2013-01-28,0.0,11,5,0,47,14,0,25,1,3,1,4,4,0,0,Saudi Arabia,Family Customer,low spender,60s,medium
7068405,58,140,Graduation,Together,2.0,54240.7,251.0,4.0,2014-06-29,1.0,69,87,3,42,0,89,30,1,3,0,0,0,0,0,USA,Family Customer,low spender,50s,low
1558456,74,141,Master,Single,1.0,32002.2,128.0,10.0,2014-05-23,0.0,69,0,0,24,4,0,100,4,1,4,1,5,0,0,Spain,Family Customer,low spender,70s,medium
923176,61,141,Master,Together,1.0,104661.2,2109.0,15.0,2014-05-28,0.0,30,1493,10,348,179,5,74,4,3,2,6,8,0,0,Germany,Family Customer,very high spender,60s,high
1271145,51,141,Graduation,Together,0.0,56809.4,180.0,15.0,2014-06-16,0.0,97,94,0,43,24,1,18,1,13,0,1,4,0,0,Canada,Other,low spender,50s,medium
15615168,73,149,Graduation,Single,1.0,35168.0,301.0,8.0,2013-10-03,0.0,97,223,0,55,0,5,18,1,2,2,3,0,0,0,Canada,Family Customer,low spender,70s,low
34723,62,145,PhD,YOLO,2.0,26397.9,78.0,6.0,2014-02-10,0.0,19,42,0,36,0,0,0,1,2,0,3,5,0,0,Canada,Family Customer,low spender,60s,medium
9974730,74,148,Master,Married,0.0,105437.3,1415.0,19.0,2013-11-11,1.0,19,483,0,752,144,6,30,3,6,6,4,7,1,0,Australia,Other,very high spender,70s,medium
13780787,86,162,PhD,Divorced,2.0,69746.9,108.0,12.0,2012-08-21,0.0,72,17,0,51,37,0,3,6,1,0,5,6,0,0,Saudi Arabia,Family Customer,low spender,80s,medium
2275327,60,155,PhD,Single,0.0,103586.0,1567.0,13.0,2013-04-11,0.0,57,805,13,647,40,15,47,1,0,6,6,3,1,0,Spain,Other,very high spender,60s,low
9413456,47,140,Graduation,Alone,0.0,47610.5,636.0,15.0,2014-06-28,1.0,70,103,21,58,179,135,140,1,6,2,6,2,0,0,Australia,Other,High spender,40s,low
2968257,49,143,PhD,Together,1.0,1730.0,68.0,14.0,2014-03-28,0.0,99,13,0,43,0,2,10,3,7,0,4,7,0,0,India,Family Customer,low spender,40s,medium
13545753,44,162,Master,Together,0.0,101718.5,437.0,26.0,2012-08-18,1.0,20,190,17,33,34,129,34,3,10,6,7,0,0,0,Spain,Other,High spender,40s,low
7322177,61,158,PhD,Single,0.0,1730.0,110.0,8.0,2012-12-27,0.0,99,0,0,110,0,0,0,1,2,3,2,7,0,0,Spain,Other,low spender,60s,medium
943046,67,150,PhD,Together,2.0,105458.3,1136.0,27.0,2013-09-01,1.0,5,776,16,212,61,0,71,1,13,1,12,4,0,0,Spain,Family Customer,very high spender,60s,medium
9006929,42,158,Basic,Single,2.0,33032.9,112.0,9.0,2012-12-22,0.0,99,40,0,52,4,0,16,3,4,1,1,8,0,0,Spain,Family Customer,low spender,40s,high
16663364,65,163,Basic,Widow,0.0,16379.1,400.0,20.0,2012-07-30,0.0,38,259,0,45,10,0,86,1,2,11,6,4,0,0,Germany,Other,High spender,60s,medium
10295988,31,140,PhD,Together,2.0,1730.0,42.0,4.0,2014-06-29,0.0,33,0,0,42,0,0,0,3,1,0,0,8,0,0,India,Family Customer,low spender,30s,high
5194720,65,144,Master,Together,0.0,20301.5,500.0,16.0,2014-03-03,0.0,99,38,0,353,42,1,66,1,4,1,10,0,0,0,Spain,Other,High spender,60s,low
8471865,61,154,Master,Single,0.0,107008.0,482.0,11.0,2013-05-10,1.0,18,33,8,230,137,44,30,1,3,1,6,0,0,0,Spain,Other,High spender,60s,low
13912972,66,157,Graduation,Married,0.0,90351.9,1723.0,16.0,2013-01-17,1.0,99,368,0,1152,14,169,20,1,5,5,5,6,1,0,Canada,Other,very high spender,60s,medium
13815974,49,147,PhD,Divorced,2.0,33658.6,72.0,14.0,2013-12-10,0.0,86,0,0,48,0,0,24,5,4,0,5,4,0,0,Saudi Arabia,Family Customer,low spender,40s,medium
9754902,70,140,Master,Married,0.0,65172.4,1859.0,13.0,2014-06-25,1.0,76,480,0,1142,229,3,5,3,4,3,3,8,0,0,Spain,Other,very high spender,70s,high
6167587,60,155,Graduation,Together,1.0,105043.4,1725.0,20.0,2013-03-23,0.0,99,356,0,1073,5,22,269,1,3,11,5,0,0,0,USA,Family Customer,very high spender,60s,low
15145895,44,158,PhD,Divorced,1.0,92441.0,656.0,20.0,2013-01-02,0.0,93,82,46,405,114,0,9,4,4,3,9,7,1,0,India,Family Customer,High spender,40s,medium
3275751,66,142,PhD,Single,1.0,33326.9,98.0,21.0,2014-04-18,0.0,86,35,0,58,5,0,0,1,3,7,10,5,1,0,Spain,Family Customer,low spender,60s,medium
3620143,39,149,Master,Together,0.0,107197.9,1738.0,13.0,2013-09-20,0.0,41,420,174,1015,42,66,21,1,4,4,4,5,0,0,Australia,Other,very high spender,30s,medium
